Run	actual_sex	SCiMS sample ID	SCiMS predicted sex	Total reads mapped	Reads mapped to X	Reads mapped to Y	Rx	Rx 95% CI	Ry	Ry 95% CI	Posterior probability of being male 	Posterior probability of being female 	Status
S1F150_SRR064532	female	S1F150_SRR064532	uncertain	67	0	0	0.0	(-0.0, 0.0)		(nan, nan)			Success
S1F200_SRR064532	female	S1F200_SRR064532	female	87	1	0	0.2366	(0.237, 0.237)	0.0	(0.0, 0.0)	0.0	1.0	Success
S1F250_SRR064532	female	S1F250_SRR064532	female	99	3	0	0.569	(0.569, 0.569)	0.0	(0.0, 0.0)	0.0006	0.9994	Success
S1F300_SRR064532	female	S1F300_SRR064532	female	123	4	0	0.6234	(0.623, 0.623)	0.0	(0.0, 0.0)	0.0006	0.9994	Success
S1F350_SRR064532	female	S1F350_SRR064532	female	159	8	0	1.0226	(1.023, 1.023)	0.0	(0.0, 0.0)	0.0	1.0	Success
S1F400_SRR064532	female	S1F400_SRR064532	female	173	8	0	0.9197	(0.92, 0.92)	0.0	(0.0, 0.0)	0.0	1.0	Success
S1F450_SRR064532	female	S1F450_SRR064532	female	205	5	0	0.4733	(0.473, 0.473)	0.0	(0.0, 0.0)	0.0004	0.9996	Success
S1F1000_SRR064532	female	S1F1000_SRR064532	female	434	14	0	0.6171	(0.617, 0.617)	0.0	(0.0, 0.0)	0.0006	0.9994	Success
S1F5000_SRR064532	female	S1F5000_SRR064532	female	2202	106	2	0.9412	(0.941, 0.941)	0.0185	(-0.007, 0.044)	0.0	1.0	Success
S1F10000_SRR064532	female	S1F10000_SRR064532	female	4332	203	1	0.922	(0.922, 0.922)	0.0049	(-0.005, 0.014)	0.0	1.0	Success
S1F100000_SRR064532	female	S1F100000_SRR064532	female	43490	1824	6	0.8233	(0.823, 0.823)	0.0033	(0.001, 0.006)	0.0	1.0	Success
S1F1000000_SRR064532	female	S1F1000000_SRR064532	female	436181	18775	93	0.8462	(0.846, 0.846)	0.0049	(0.004, 0.006)	0.0	1.0	Success
S1M150_SRR346690	male	S1M150_SRR346690	female	81	3	0	0.731	(0.731, 0.731)	0.0	(0.0, 0.0)	0.0004	0.9996	Success
S1M200_SRR346690	male	S1M200_SRR346690	female	97	6	0	1.2297	(1.23, 1.23)	0.0	(0.0, 0.0)	0.0	1.0	Success
S1M250_SRR346690	male	S1M250_SRR346690	female	136	1	0	0.1343	(0.134, 0.134)	0.0	(0.0, 0.0)	0.0	1.0	Success
S1M300_SRR346690	male	S1M300_SRR346690	female	145	2	0	0.2534	(0.253, 0.253)	0.0	(0.0, 0.0)	0.0	1.0	Success
S1M350_SRR346690	male	S1M350_SRR346690	uncertain	170	5	1	0.577	(0.577, 0.577)	0.1667	(-0.132, 0.465)	0.3058	0.6942	Success
S1M400_SRR346690	male	S1M400_SRR346690	male	193	1	1	0.0979	(0.098, 0.098)	0.5	(-0.193, 1.193)	1.0	0.0	Success
S1M450_SRR346690	male	S1M450_SRR346690	female	223	9	0	0.7655	(0.765, 0.765)	0.0	(0.0, 0.0)	0.0003	0.9997	Success
S1M1000_SRR346690	male	S1M1000_SRR346690	male	487	5	4	0.1947	(0.195, 0.195)	0.4444	(0.12, 0.769)	1.0	0.0	Success
S1M5000_SRR346690	male	S1M5000_SRR346690	male	2471	61	11	0.4783	(0.478, 0.478)	0.1528	(0.07, 0.236)	1.0	0.0	Success
S1M10000_SRR346690	male	S1M10000_SRR346690	male	4901	119	27	0.4671	(0.467, 0.467)	0.1849	(0.122, 0.248)	1.0	0.0	Success
S1M100000_SRR346690	male	S1M100000_SRR346690	male	48946	1070	204	0.4227	(0.423, 0.423)	0.1601	(0.14, 0.18)	1.0	0.0	Success
S1M1000000_SRR346690	male	S1M1000000_SRR346690	male	489456	10564	2301	0.4159	(0.416, 0.416)	0.1789	(0.172, 0.185)	1.0	0.0	Success
S2F150_SRR064532	female	S2F150_SRR064532	female	63	3	0	1.0639	(1.064, 1.064)	0.0	(0.0, 0.0)	0.0	1.0	Success
S2F200_SRR064532	female	S2F200_SRR064532	female	83	4	0	0.9411	(0.941, 0.941)	0.0	(0.0, 0.0)	0.0	1.0	Success
S2F250_SRR064532	female	S2F250_SRR064532	female	111	8	0	1.5283	(1.528, 1.528)	0.0	(0.0, 0.0)	0.0	1.0	Success
S2F300_SRR064532	female	S2F300_SRR064532	female	149	4	0	0.5132	(0.513, 0.513)	0.0	(0.0, 0.0)	0.0005	0.9995	Success
S2F350_SRR064532	female	S2F350_SRR064532	female	139	6	0	0.8745	(0.875, 0.875)	0.0	(0.0, 0.0)	0.0001	0.9999	Success
S2F400_SRR064532	female	S2F400_SRR064532	female	171	8	0	0.9342	(0.934, 0.934)	0.0	(0.0, 0.0)	0.0	1.0	Success
S2F450_SRR064532	female	S2F450_SRR064532	female	192	5	0	0.5139	(0.514, 0.514)	0.0	(0.0, 0.0)	0.0005	0.9995	Success
S2F1000_SRR064532	female	S2F1000_SRR064532	female	463	20	1	0.8358	(0.836, 0.836)	0.0476	(-0.043, 0.139)	0.0002	0.9998	Success
S2F5000_SRR064532	female	S2F5000_SRR064532	female	2158	110	0	1.0104	(1.01, 1.01)	0.0	(0.0, 0.0)	0.0	1.0	Success
S2F10000_SRR064532	female	S2F10000_SRR064532	female	4336	176	0	0.8004	(0.8, 0.8)	0.0	(0.0, 0.0)	0.0001	0.9999	Success
S2F100000_SRR064532	female	S2F100000_SRR064532	female	43762	1901	8	0.8587	(0.859, 0.859)	0.0042	(0.001, 0.007)	0.0	1.0	Success
S2F1000000_SRR064532	female	S2F1000000_SRR064532	female	436032	18691	109	0.8433	(0.843, 0.843)	0.0058	(0.005, 0.007)	0.0	1.0	Success
